,Description,desc_id
0,lawn garden supply outlet including nursery,0
1,bicycle shop sale service,1
2,antique shop sale repair restoration service,2
3,book periodical newspaper,3
4,artist supply craft shop,4
5,gift card novelty souvenir shop,5
6,shoe shop,6
7,health beauty spa,7
8,art dealer gallery,8
9,music shop musical instrument piano sheet music,9
10,tent awning shop,10
11,motor vehicle supply new part,11
12,jewelry watch clock silverware shop,12
13,stationery office supply printing writing paper,13
14,optician optical good eyeglass,14
15,telecom,15
16,digital good book movie music,16
17,furniture home furnishing equipment shop manufacturer except appliance,17
18,computer programming data processing integrated system design service,18
19,computer computer peripheral equipment software,19
20,cable satellite pay television radio service,20
21,equipment tool furniture appliance rent al leasing,21
22,watch clock jewelry repair shop,22
23,hobby toy game shop,23
24,florist supply nursery stock flower,24
